Appearance
 Colorless to pale yellow crystals
Oil
 Orange to Red
Colourless liquid.
Clear yellow liquid
Colorless to pale yellow liquid
 Colourless to pale yellow 
Powder 
 powder 
" Form: liquid, clear Colour: colourless"
      Colourless to pale yellow liquid
A clear pale yellow to yellow/brown liquid
fine powder
" Clear, free from matter in suspension  "
Equal to standard.
BROWN VISCOUS LIQUID
Green to greenish yellow liquid.
BROWN COLOURED LIQUID
 WHITE POWDER
 See technical bulletin
       Yellow to brown green liquid
Yellow liquid
" Pale, straw coloured liquid "
 NEAR COLOURLESS LIQUID
DARK BROWN LIQUID
 Liquid
 A pale yellow liquid 
 Liquid  
 WHITE POWDER 
"clear, free from suspended matter"
" Powder, Beige to white (Visual)"
     Colourless/pale-yellow solid or liquid
Clear colourless to pale straw coloured liquid
 Clear pale straw coloured liquid 
    clear liquid
VISCOUS LIQUID
 CLEAR COLOURLESS LIQUID - PALE STRAW COLOURED LIQUID
 CLEAR YELLOW LIQUID 
 Pale yellow to orange yellow 
 fine powder 
Clear colorless liquid 
WHITE POWDER
 PALE YELLOW LIQUID
Colourless to pale yellow crystals
 Orange liquid 
" Clear, free from matter in suspension "
 Clear liquid. 
Yellowish brown liquid. 
 Colourless to pale yellow liquid 
  Pale yellow liquid.
 Yellowish to yellow. Powder 
STRAW COLOURED CLEAR LIQUID
Mobile Liquid
PALE YELLOW LIQUID
Mobile liquid
IQUID
"Clear, mobile liquid"
 Clear colourless to pale straw coloured liquid 
 Colourless liquid. 
Orange liquid
Yellow oily liquid
Brown viscous liquid
" A clear liquid, free from particulate  contamination"
light beige powder
"clear, liquid"
 COLOURLESS CLEAR LIQUID
 YELLOW CLEAR LIQUID 
 Colorless liquid 
  liquid
 Brown viscous liquid 
Viscous hydroscopic Liquid
Brown Viscous Liquid
 PALE YELLOW LIQUID 
 Pale yellow to yellow liquid
   clear liquid
 OFF WHITE COLOURED POWDER 
"A clear, bright colourless liquid"
 Dark brown liquid 
"Clear, free from matter in suspension"
Pale yellow
 Colourless to pale yellow
Yellowish to yellow. Powder
Colorless to pale yellow crystals
 ORANGE COLOURED LIQUID 
A clear colourless to pale yellow/green liquid
Liquid
 Very pale yellow liquid 
            Pale yellow liquid
COLOURLESS TO PALE YELLOW LIQUID*
 Clear Liquid 
Colourless Liquid
clear liquid
Pale yellow liquid.
Pale yellow to orange liquid
 Colourless liquid
 Pale yellow crytalline powder
 Powder 
"  Clear, free from matter in suspension"
 Colourless to straw yellow transparent  liquid
"Clear, colorless to yellow liquid"
Colourless to pale blue liquid
Yellowish brown liquid
Almost water-white to pale yellow liquid
 Clear yellow liquid 
 Viscous liquid 
 Fluid 
 WHITE COLOURED POWDER
 Liquid. 
 Liquid 
Pale yellow crytalline powder
Yellow to brown. Powder
CLEAR YELLOW LIQUID
Liquid 
Green to greenish yellow liquid
LIQUID
"Clear, free from matter in suspension "
Almost Water-white liquid
 CLEAR ORANGE LIQUID 
" Pale, straw coloured liquid"
" liquid, colourless"
Clear pale yellow liquid or crystalline solid
 Oily liquid 
liquid
  CLEAR MOBILE LIQUID
Yellowish to yellow. Powde
 liquid 
     Colourless to pale yellow
No data available
Colourless to Pale Yellow Liquid
 Colourless liquid 
 Yellow to orange colored transparent  liqiud
 Mobile Liquid 
" A clear liquid, free from particulate  contamination."
 See technical bulletin 
Colourless/pale-yellow solid or liquid
