AR_Co_Name
Ocado Group plc 
 Sig plc 
 ST. MODWEN PROPERTIES PLC
2015
 Rio Tinto Group
RIT CAPITAL  PARTNERS  PLC
The Scottish Investment Trust 
 Redrowplc
SIG plc
RM plc
Redefine International P.L.C.
 Old Mutual plc
Playtech
Playtech Limited
Sterling Energy Plc
SDL PLC
Old Mutual plc
Oxford BioMedica plc
SDL
Punch Taverns plc
British Sky Broadcasting Group plc
Standard Life plc
Prudential plc
Petrofac Services Limited
Regional REIT Limited
St. James’s Place plc
 Sig plc
Shanks Group plc
Sportingbet Plc
Shanks Group plc 
PageGroup
Rio Tinto Group 
St Ives plc
Raven Russia Limited
Rotork p.l.c.
Schroders plc
 PV C RYSTALO x S OLAR  PLC
Safestore Holdings plc
Prudential plc 
Rightmove plc
 The Scottish Investment Trust PLC
Severfield–Rowen Plc
Sterling Energy plc
Premier Oil plc
Plant Health Care plc
British Sky Broadcasting Group plc 
Regal Petroleum plc
Petrofac
 PV Crystalox  solar PlC
SOCO International plc
The Paragon Group of Companies PLC
OPHIR ENERGY PLC
DS Smith Plc 

The Scottish Investment Trust PLC 
RIT CAPITAL PARTNERS PLC
Redefine International P.L.C. 
Rentokil Initial plc  
The Rio Tinto Group
 RPCGroupPlc
PV Crystalox Solar PLC 
The Scottish Investment Trust
The Sage Group plc
Old Mutual plc 
Regus plc 
 Melrose  Industries PLC
Michael Page International plc
Slough Estates Plc
 PV Crystalox Solar PLC
The Restaurant Group plc
Michael Page International plc 
Regional REIT Limited 
Regional REIT
Rentokil Initial plc 
Rio Tinto Group
Rentokil Initial plc
Petrofac Limited
Raven Russia Limited 
 St. Modwen Properties PLC
Premier Foods plc 
Premier Foods plc
Rexam PLC
REGUS PLC
 Reckitt Benckiser
Ocado Group plc
Rotork p.l.c
Ricardo plc
Punch Taverns plc 
ST. MODWEN PROPERTIES PLC
SkyePharma PLC
The Scottish Investment Trust PLC
Melrose Industries PLC
Dividend and Interest Payments
Reckitt Benckiser Group plc
 OceanWilsonsHoldingsLimited
Petrofac Limited 
PV Crystalox Solar PLC
St Ives plc 
SPORTINGBET PLC
 Rightmove plc  
Rio Tinto
Ricardo plc 
Standard Life plc 
