Age
60.
 46
82
", 62"
 60
63.
 65.
55 
57.
36
", 6"
37
64.
55
 35
 45
 76 
61 
43
 54
69
 67
63
29
84
75
58
  50
72
39
54.
47.
52
 71
30 
54
42
60
 59
" 68,"
 66
 40
 65
47
44 
" ,42"

71
40
61
 54.
 63
 47
47 
44
38
69 
68
67
49
65
 56
56
34
51.
50
57
66 
 50
 5 1 
64
41
 62.
 58
 57
 52
62
76 
50 
48
53
 55
" 61,"
38 
59.
74
46 
59
 61
68 
 62
 51
52 
46
73
 64
44.
70
 42
 37.
50.
77
51 
 70
51
 69
 68
66
45 
45
 53
 76
 49
 46 
 43
59 
