 SERIES, DATE OF LISTING, ISIN NUMBER
EQ,10-DEC-2010,INE039C01032
EQ,17-APR-1996,INE785A01026
EQ,03-JAN-1996,INE571B01028
BE,10-MAY-1995,INE854B01010
EQ,15-FEB-1995,INE364A01020
EQ,29-APR-2003,INE572A01028
EQ,25-FEB-2004,INE187A01017
EQ,17-DEC-2004,INE927D01028
EQ,03-JAN-2000,INE782A01015
EQ,14-MAR-2005,INE802G01018
EQ,21-OCT-2006,INE544H01014
BE,26-NOV-2008,INE026B01049
EQ,07-APR-2005,INE796G01012
EQ,21-JAN-2002,INE197D01010
EQ,29-APR-2003,INE324A01024
EQ,29-DEC-1999,INE749A01030
BE,22-SEP-2009,INE904J01016
EQ,22-DEC-2006,INE742C01031
EQ,25-NOV-2010,INE247D01039
EQ,30-NOV-2011,IN9175A01010
EQ,13-AUG-2001,INE175A01038
BE,27-FEB-2017,INE863T01013
EQ,14-MAR-2006,INE823G01014
EQ,12-FEB-2008,INE576I01022
EQ,19-JUN-2006,INE786A01032
EQ,16-JUN-2005,INE789E01012
EQ,19-MAR-2007,INE573A01042
EQ,16-MAR-2015,INE412C01015
EQ,26-NOV-2007,INE890A01024
EQ,10-OCT-2006,INE780C01023
EQ,02-APR-2007,INE988E01036
EQ,08-OCT-2008,INE839G01010
EQ,14-JUN-2004,INE455F01025
EQ,21-MAY-2010,INE099J01015
EQ,11-NOV-2013,INE147P01019
EQ,18-APR-2005,INE351F01018
EQ,17-NOV-2003,INE220G01021
EQ,28-JAN-2016,INE455T01018
EQ,04-JAN-2010,INE121E01018
EQ,21-JUN-2005,INE824G01012
EQ,23-MAR-2005,INE019A01038
EQ,12-JAN-2004,INE643A01035
EQ,16-JUN-2003,INE700A01033
EQ,08-FEB-2010,INE797F01012
EQ,14-FEB-2011,INE645L01011
EQ,05-JUN-2013,INE599M01018
BZ,17-JUN-2011,INE430G01026
EQ,19-DEC-2007,INE668F01031
BZ,19-JUL-1995,INE197A01024
EQ,06-SEP-1995,INE900B01029
EQ,01-JUN-2004,INE217B01036
EQ,13-DEC-1995,INE437B01014
EQ,15-DEC-2000,INE220B01022
BE,13-FEB-2017,INE610E01010
BE,20-DEC-2007,INE314G01014
EQ,29-MAY-1996,INE967C01018
EQ,09-MAY-2006,INE390H01012
EQ,14-DEC-2011,INE879E01037
EQ,08-FEB-1995,INE138C01024
EQ,15-SEP-2003,INE531A01024
EQ,02-APR-2018,INE278R01018
EQ,28-JUN-2011,INE725L01011
EQ,26-JUL-2000,INE036D01028
EQ,14-DEC-2007,INE234I01010
EQ,29-JAN-2008,INE641C01019
EQ,14-AUG-2015,INE587G01015
EQ,09-APR-1997,INE805C01028
EQ,11-JUN-1997,INE790B01024
EQ,23-MAR-2016,INE291D01011
EQ,10-MAR-2006,INE389H01022
EQ,09-MAR-2010,INE134B01017
EQ,23-MAR-2006,INE878B01027
BE,02-MAR-2016,INE164B01022
BE,20-DEC-2005,INE202H01019
EQ,02-JAN-2007,INE133B01019
EQ,06-SEP-1995,INE087A01019
EQ,26-JUN-1996,INE681C01015
BE,03-MAY-2007,INE299C01024
EQ,14-NOV-2017,INE834I01025
BE,28-JUN-2000,INE761A01019
BE,20-DEC-1995,INE731C01018
BE,07-FEB-2001,INE060B01014
EQ,14-JAN-2011,INE029L01018
EQ,29-SEP-2010,INE729D01010
EQ,15-NOV-2016,INE473D01015
EQ,29-NOV-2016,INE880L01014
EQ,22-APR-2008,INE415I01015
EQ,20-APR-2010,INE732A01036
EQ,24-DEC-2010,INE146L01010
EQ,24-JUN-2010,INE250A01039
EQ,25-SEP-2012,INE602G01020
EQ,13-APR-2006,INE401H01017
EQ,31-MAY-2007,INE157H01023
EQ,18-FEB-2008,INE634I01029
EQ,20-OCT-1999,INE080B01012
EQ,28-JUL-2008,INE760A01029
EQ,13-DEC-2007,INE094I01018
EQ,09-JUN-1999,INE082A01010
EQ,20-DEC-1995,INE237A01028
EQ,13-DEC-2004,INE419A01022
EQ,02-NOV-1996,INE720A01015
EQ,03-JUN-1998,INE823A01017
EQ,24-NOV-1999,INE836A01035
EQ,28-AUG-2007,INE930H01023
EQ,21-JAN-2002,INE001B01026
EQ,03-JAN-1996,INE268B01013
EQ,11-DEC-2015,INE524L01026
EQ,08-FEB-1995,INE999A01015
EQ,04-OCT-2007,INE455I01029
BE,05-OCT-2006,INE216D01026
EQ,14-JUL-2008,INE143H01015
EQ,19-MAY-2010,INE907A01026
EQ,22-DEC-2010,INE096L01025
EQ,10-MAY-2000,INE614B01018
EQ,05-JUL-2011,INE775B01025
EQ,12-AUG-2011,INE498L01015
BZ,26-SEP-2006,INE651C01018
EQ,21-JUN-2000,INE694C01018
EQ,23-DEC-2015,INE600L01024
EQ,04-FEB-2015,INE112F01022
EQ,16-MAR-2007,INE059D01020
BE,21-SEP-2017,INE670X01014
EQ,19-DEC-2016,INE947Q01010
EQ,29-MAR-1995,INE269B01029
EQ,30-APR-1997,INE245C01019
EQ,09-APR-2018,INE970X01018
BE,15-APR-2015,INE850E01012
EQ,30-MAR-2010,INE337A01034
EQ,27-SEP-1995,INE557B01019
EQ,29-JUL-1998,INE115A01026
EQ,17-DEC-2015,INE405C01035
EQ,09-MAR-2015,INE802B01019
EQ,16-JUN-1999,INE473A01011
EQ,05-MAY-2006,INE397H01017
EQ,11-JUL-2008,INE947I01017
EQ,24-MAR-2011,INE597L01014
EQ,12-AUG-2008,INE197J01017
EQ,18-JUL-2016,INE093R01011
EQ,23-JUN-2004,INE018A01030
EQ,21-JUL-2016,INE214T01019
EQ,23-SEP-2016,INE010V01017
EQ,06-SEP-1995,INE162B01018
EQ,16-JAN-2007,INE872H01027
EQ,10-SEP-2001,INE326A01037
EQ,30-NOV-2015,INE150G01020
EQ,08-FEB-1995,INE933A01014
EQ,05-NOV-2013,INE142K01011
EQ,03-JAN-1996,INE101A01026
EQ,17-MAR-2006,INE774D01024
EQ,22-OCT-2007,INE215I01019
EQ,20-DEC-2007,INE925C01016
EQ,05-OCT-2006,INE378D01032
EQ,25-JUL-1997,INE414A01015
EQ,28-JUL-2017,INE347W01011
EQ,27-APR-2004,INE511C01022
EQ,20-SEP-2007,INE387I01016
EQ,12-APR-2004,INE457A01014
BE,21-JAN-1998,INE843B01013
EQ,01-JUL-2016,INE451L01014
EQ,30-AUG-2007,INE536H01010
EQ,10-MAY-2000,INE813A01018
EQ,10-NOV-2017,INE766P01016
EQ,08-FEB-1995,INE288A01013
EQ,25-AUG-2004,INE271B01025
EQ,05-JUL-2011,INE683C01011
EQ,19-AUG-2015,INE898S01029
EQ,05-APR-2006,INE383H01017
EQ,30-MAR-2015,INE859Q01017
EQ,30-MAR-2015,INE830Q01018
EQ,08-JAN-2008,INE015D01022
EQ,30-MAR-2015,INE824Q01011
EQ,06-DEC-2006,INE201A01024
EQ,01-DEC-2014,INE522D01027
EQ,23-MAY-2005,INE584F01014
EQ,22-OCT-2007,INE558B01017
EQ,03-JAN-1996,INE347A01017
EQ,27-JUL-1995,INE805B01012
EQ,24-JUN-2005,INE993A01026
EQ,11-MAR-2010,INE949H01023
EQ,09-JUL-2015,INE122R01018
EQ,14-SEP-2006,INE867A01022
EQ,08-FEB-1995,INE882A01013
EQ,29-SEP-2016,INE182D01020
EQ,01-MAY-1996,INE196A01026
EQ,21-JAN-2002,INE750C01026
EQ,09-JUL-2003,INE585B01010
EQ,18-OCT-2017,INE348L01012
BE,14-OCT-2016,INE885F01015
EQ,10-MAY-1995,INE759A01021
EQ,21-SEP-2017,INE866R01028
EQ,20-MAR-2009,INE636A01039
EQ,14-JUL-2016,INE153U01017
EQ,22-JUN-2016,INE154U01015
EQ,25-SEP-2012,INE040D01038
EQ,01-NOV-2016,INE885E01034
BE,06-OCT-2006,INE748A01016
EQ,11-JAN-2010,INE912H01013
EQ,30-MAY-2007,INE836H01014
EQ,27-SEP-2001,INE854D01024
EQ,29-JUL-2005,INE942G01012
EQ,09-MAR-2012,INE745G01035
BE,19-JUL-2007,INE933B01012
EQ,28-JUN-2007,INE974H01013
BE,07-MAR-2000,INE817A01019
EQ,09-MAR-2015,INE071D01033
EQ,06-MAY-2015,INE776I01010
EQ,20-JUN-2005,INE934B01028
EQ,24-APR-1996,INE199A01012
EQ,23-AUG-1995,INE425A01011
BE,30-JUN-2008,INE592I01029
EQ,17-MAY-2000,INE180A01020
EQ,01-JUL-2016,INE002S01010
EQ,16-JUL-2009,INE998I01010
EQ,30-MAY-2007,INE287C01029
EQ,04-APR-2018,INE099Z01011
EQ,16-OCT-2014,INE842C01021
EQ,02-FEB-2007,INE405E01023
EQ,02-AUG-2016,INE110B01017
EQ,07-MAR-2007,INE018I01017
EQ,24-MAY-2004,INE831A01028
EQ,28-APR-1999,INE771A01026
EQ,20-DEC-2006,INE227C01017
EQ,09-APR-2012,INE123F01029
BE,07-FEB-1996,INE832A01018
EQ,14-MAR-2013,INE954E01012
EQ,10-APR-1996,INE313D01013
EQ,15-DEC-2010,INE490G01020
EQ,07-JUL-2016,INE835B01035
EQ,23-FEB-2015,INE893J01029
EQ,19-JAN-2000,INE274B01011
EQ,19-DEC-2014,INE950M01013
EQ,14-SEP-2012,INE161G01027
EQ,24-NOV-1999,INE083A01026
BZ,02-MAY-2003,INE739A01015
EQ,14-AUG-1996,INE775A01035
EQ,11-SEP-2007,INE338I01027
EQ,08-FEB-1995,INE861B01015
EQ,04-JUN-2004,INE356A01018
EQ,21-JAN-2002,INE943D01017
EQ,18-SEP-1996,INE883A01011
EQ,01-NOV-2000,INE398B01018
EQ,07-JAN-2005,INE103A01014
EQ,18-JUL-2005,INE752G01015
EQ,12-APR-2012,INE472M01018
EQ,17-FEB-1999,INE153A01019
EQ,28-JUN-2000,INE022B01014
EQ,23-FEB-2004,INE304A01026
EQ,12-SEP-2000,INE374B01019
EQ,19-JUL-2006,INE672B01032
EQ,12-MAY-2003,INE577A01027
EQ,28-MAY-2004,INE692B01014
EQ,24-AUG-2015,INE296G01013
EQ,06-MAY-2011,INE414G01012
EQ,30-JUN-2008,INE744I01034
EQ,07-APR-2017,INE295D01020
EQ,15-JUN-2016,INE454M01024
EQ,28-MAR-2012,INE453M01018
EQ,18-SEP-2007,INE245I01016
EQ,18-JUN-2007,INE123B01028
EQ,11-MAR-2008,INE049I01012
EQ,15-DEC-2005,INE289A01011
EQ,23-MAR-2007,INE308A01027
EQ,23-MAR-2007,INE290A01027
EQ,27-DEC-1995,INE987B01026
EQ,28-JAN-2014,INE448G01010
EQ,28-APR-1999,INE139A01034
EQ,26-SEP-2002,INE088B01015
EQ,21-NOV-2006,INE663F01024
EQ,01-JUN-2007,INE048G01026
EQ,09-SEP-2015,INE278M01019
EQ,08-FEB-1995,INE060A01024
EQ,12-APR-2012,INE095N01031
EQ,23-NOV-2016,INE365I01020
EQ,03-APR-1996,INE725A01022
EQ,14-OCT-2003,INE868B01028
EQ,03-APR-2007,INE732C01016
EQ,29-AUG-2016,INE756C01015
EQ,23-MAR-2012,INE875G01030
EQ,19-MAY-2004,INE155G01029
EQ,02-MAR-2016,INE553C01016
EQ,18-JUL-2005,INE023H01027
EQ,27-JUN-2007,INE189I01024
EQ,28-MAY-2003,INE045B01015
EQ,08-APR-2008,INE317F01035
EQ,08-JAN-2010,INE239A01016
EQ,02-FEB-2007,INE870H01013
EQ,13-OCT-2008,INE794A01010
EQ,29-JAN-2018,INE619B01017
BE,04-APR-2001,INE747B01016
EQ,28-DEC-2006,INE870D01012
EQ,06-JAN-2016,INE410P01011
EQ,01-SEP-2009,INE848E01016
EQ,13-NOV-2017,INE470Y01017
EQ,09-APR-2013,INE047O01014
EQ,16-AUG-2004,INE161A01038
EQ,30-AUG-2004,INE591G01017
EQ,21-MAY-2015,INE937C01029
EQ,28-DEC-2018,INE00S901012
EQ,01-NOV-1995,INE310A01015
EQ,06-OCT-1999,INE567A01010
BE,27-OCT-2016,INE326T01011
EQ,21-MAR-2006,INE858F01012
EQ,13-MAY-2010,INE639K01016
EQ,05-JUN-2007,INE489H01020
EQ,02-FEB-2006,INE229H01012
EQ,07-JUL-1995,INE542C01019
EQ,23-AUG-2000,INE589A01014
EQ,03-MAR-2008,INE584A01023
EQ,17-JAN-1996,INE163A01018
EQ,06-DEC-2002,INE781B01015
EQ,26-JUN-1996,INE369C01017
EQ,05-APR-2017,INE740D01017
EQ,08-MAR-2000,INE349A01021
EQ,17-NOV-2003,INE023A01030
BE,11-SEP-2013,INE333I01036
EQ,05-NOV-2004,INE733E01010
EQ,19-DEC-2002,INE096B01018
EQ,27-AUG-2008,INE318J01027
EQ,20-OCT-2010,INE093I01010
EQ,27-JAN-2016,INE321D01016
EQ,28-JUN-2002,INE881D01027
EQ,30-SEP-2009,INE274J01014
EQ,30-AUG-1995,INE591A01010
EQ,01-AUG-2008,INE196J01019
EQ,20-MAR-2002,INE260D01016
EQ,20-FEB-2003,INE090B01011
EQ,09-AUG-2007,INE800H01010
BE,10-FEB-2011,INE474L01016
EQ,17-JUN-2011,INE239D01028
BE,17-OCT-2011,INE912L01015
EQ,19-JUL-1995,INE213A01029
EQ,19-FEB-2008,INE809I01019
EQ,07-MAR-2001,INE229A01017
EQ,08-AUG-2017,INE350C01017
EQ,25-AUG-2003,INE808B01016
EQ,05-NOV-2013,INE231G01010
BZ,02-JUL-1997,INE191A01019
EQ,24-JUL-2015,INE730A01022
EQ,15-DEC-2005,INE569C01020
EQ,07-MAR-2007,INE998H01012
EQ,02-JUL-1997,INE141A01014
EQ,14-FEB-2007,INE607D01018
EQ,12-JUL-2013,INE876N01018
EQ,14-MAY-2018,INE142Z01019
EQ,27-AUG-1998,INE750A01020
EQ,03-MAR-2010,INE609C01024
EQ,29-MAR-1995,INE592A01026
EQ,12-MAR-2012,INE743M01012
EQ,29-SEP-2010,INE725E01024
BE,19-MAR-2015,INE849L01019
EQ,21-AUG-2015,INE749B01012
EQ,29-MAR-1995,INE142A01012
EQ,12-APR-1995,INE766A01018
EQ,16-MAR-2007,INE761H01022
EQ,17-OCT-2011,INE420C01042
EQ,28-JUL-2017,INE471W01019
EQ,09-MAY-2016,INE218G01033
EQ,17-APR-1996,INE922B01023
EQ,30-SEP-2011,INE305C01029
EQ,01-OCT-2004,INE275B01026
BE,01-JUL-2010,INE618H01016
EQ,03-JAN-2007,INE074B01023
EQ,19-MAY-2016,INE883N01014
EQ,30-NOV-2006,INE561H01026
EQ,24-FEB-2005,INE244B01030
EQ,11-JAN-2008,INE529D01014
EQ,10-MAY-1995,INE790C01014
EQ,24-NOV-2005,INE160H01019
EQ,27-DEC-2012,INE785M01013
EQ,30-MAR-2016,INE865T01018
BE,19-AUG-2010,INE904D01019
EQ,21-OCT-2014,INE111Q01013
EQ,11-OCT-1995,INE844A01013
EQ,08-FEB-1995,INE140A01024
EQ,25-NOV-2010,INE932A01024
EQ,08-FEB-1995,INE138A01028
EQ,10-SEP-2015,INE455O01019
EQ,06-APR-2010,INE262H01013
EQ,27-DEC-1995,INE742A01019
EQ,26-MAR-2004,INE347G01014
EQ,23-FEB-2007,INE134E01011
EQ,28-APR-1999,INE182A01018
EQ,20-JUN-2006,INE367G01038
EQ,30-MAR-2011,INE560K01014
EQ,26-SEP-2011,INE457L01011
EQ,07-JUL-2004,INE179A01014
EQ,15-FEB-2007,INE940H01014
EQ,29-MAR-1995,INE602A01023
EQ,23-APR-2007,INE211B01039
EQ,29-MAR-1995,INE318A01026
EQ,15-JUN-2011,INE603J01030
BE,08-DEC-2015,INE417C01014
BE,07-OCT-2013,INE600A01035
EQ,15-JUN-2010,INE889E01010
EQ,16-MAY-2006,INE156C01018
BE,29-MAY-2008,INE122J01015
EQ,02-FEB-2007,INE450D01021
BE,19-AUG-2015,INE431F01018
EQ,28-DEC-2006,INE083C01022
EQ,24-APR-2002,INE160A01022
EQ,18-SEP-2000,INE859A01011
EQ,07-NOV-2016,INE572E01012
EQ,11-DEC-2000,INE392B01011
EQ,26-MAY-2015,INE195J01029
EQ,10-APR-2017,INE888B01018
EQ,22-NOV-2016,INE371C01013
EQ,07-JUL-2016,INE637C01025
EQ,07-DEC-2011,INE205C01021
EQ,11-APR-2003,INE633B01018
EQ,16-APR-2002,INE838E01017
EQ,05-OCT-2007,INE752E01010
EQ,26-AUG-2015,INE211R01019
EQ,11-JAN-2008,INE095I01015
EQ,21-SEP-2015,INE302M01033
BE,05-APR-2010,INE495J01015
EQ,02-JAN-2007,INE505C01016
EQ,11-OCT-1995,INE074A01025
EQ,10-MAY-1995,INE603A01013
EQ,04-OCT-2011,INE023M01027
EQ,25-AUG-2010,INE696K01024
EQ,31-JAN-2018,INE546Y01022
EQ,08-FEB-2016,INE484I01029
EQ,19-AUG-2005,INE283A01014
EQ,06-SEP-1995,INE372C01029
EQ,17-JUN-2016,INE863B01011
EQ,03-APR-1996,INE342A01018
EQ,13-DEC-1995,INE309M01012
EQ,05-JAN-2005,INE980A01023
EQ,27-OCT-2010,INE811K01011
EQ,10-FEB-2017,INE726V01018
EQ,17-JUN-2005,INE032B01021
BE,16-OCT-2012,INE217G01027
BE,26-MAR-2012,INE968G01033
EQ,12-SEP-2012,INE195N01013
EQ,20-AUG-2003,INE010A01011
EQ,30-DEC-2010,INE608A01012
EQ,29-MAY-2003,INE474B01017
EQ,29-MAY-2017,INE488V01015
EQ,07-APR-2004,INE877F01012
EQ,29-JAN-2007,INE034D01031
EQ,08-MAR-2007,INE277B01014
EQ,06-JAN-2006,INE701B01021
EQ,30-AUG-2007,INE323I01011
EQ,03-APR-1996,INE362A01016
EQ,04-JAN-2006,INE191H01014
EQ,12-JUL-2016,INE615P01015
EQ,18-FEB-2016,INE306L01010
BE,20-DEC-2000,INE033B01011
BE,27-FEB-2003,INE874F01027
EQ,18-JUN-2003,INE944F01028
EQ,17-MAR-2017,INE919I01016
EQ,03-MAR-2008,INE855B01025
BE,02-JUN-2010,INE028D01025
EQ,09-FEB-2000,INE343B01030
BZ,04-JAN-2007,INE533D01024
EQ,29-MAR-1995,INE562B01019
EQ,16-MAR-2007,INE952H01027
BE,20-SEP-2005,INE011H01014
EQ,01-APR-1999,INE613A01020
EQ,20-SEP-2006,INE278B01020
EQ,19-AUG-2015,INE230R01027
EQ,09-APR-1997,INE331A01037
EQ,06-NOV-1996,INE614A01028
EQ,12-APR-2000,INE246B01019
BE,29-MAR-1995,INE410D01017
EQ,08-OCT-2010,INE874I01013
BZ,09-JUL-2007,INE005D01015
EQ,24-FEB-2005,INE625B01014
EQ,24-JUN-2008,INE222J01013
EQ,24-SEP-1997,INE384A01010
EQ,09-MAY-2006,INE703B01027
EQ,18-OCT-1995,INE301A01014
EQ,20-JUN-2008,INE244J01017
EQ,31-AUG-2016,INE976G01028
EQ,07-JAN-1998,INE027A01015
EQ,06-MAR-2006,INE330H01018
EQ,12-MAR-2008,INE020B01018
EQ,15-FEB-2007,INE891D01026
EQ,03-DEC-2009,INE056I01017
BE,05-JUN-1996,INE277C01012
EQ,17-JUN-2011,INE131B01039
EQ,29-NOV-1995,INE013A01015
EQ,29-NOV-1995,INE002A01018
EQ,21-NOV-2007,INE621H01010
EQ,08-FEB-1995,INE036A01016
EQ,31-JAN-1996,INE474C01015
EQ,31-OCT-2005,INE087H01022
EQ,01-APR-2013,INE612J01015
EQ,22-DEC-2005,INE461B01014
EQ,29-OCT-2010,INE688D01026
EQ,11-AUG-2005,INE617A01013
EQ,22-SEP-2017,INE217K01011
EQ,12-MAY-2003,INE209B01025
EQ,29-NOV-1995,INE046A01015
EQ,02-JUL-2018,INE320J01015
EQ,12-DEC-2007,INE722H01016
EQ,27-DEC-2010,INE722J01012
EQ,05-MAY-2004,INE399G01015
EQ,26-NOV-2007,INE172H01014
EQ,30-AUG-2005,INE050H01012
EQ,06-NOV-2017,INE298J01013
EQ,09-OCT-2009,INE542F01012
BE,13-APR-2006,INE248H01012
EQ,06-FEB-2006,INE283H01019
EQ,22-NOV-2016,INE927A01040
EQ,01-MAR-1995,INE293A01013
EQ,25-SEP-2012,INE847C01020
EQ,10-JUN-2008,INE105J01010
EQ,11-FEB-2008,INE614G01033
EQ,06-DEC-2010,INE324L01013
EQ,19-MAY-1999,INE165B01029
EQ,15-FEB-1995,INE611A01016
EQ,26-APR-2006,INE411H01032
EQ,30-JUL-2012,INE834M01019
EQ,30-OCT-2009,INE399K01017
EQ,29-MAR-1995,INE301D01026
BE,16-OCT-1996,INE413B01023
EQ,20-DEC-2006,INE803H01014
BE,02-JAN-2003,INE619A01027
EQ,07-DEC-2011,INE895B01021
EQ,07-JUL-2011,INE573K01017
EQ,15-SEP-2016,INE860T01019
EQ,16-NOV-2007,INE416A01036
EQ,01-MAR-2006,INE226H01026
EQ,16-SEP-2015,INE764L01010
EQ,25-JAN-2019,INE976T01013
EQ,29-JAN-2007,INE229C01013
EQ,06-JUL-1995,INE114A01011
EQ,06-SEP-1995,INE623A01011
EQ,09-MAY-2005,INE667G01015
EQ,08-MAR-2006,INE190H01024
EQ,25-JUL-2017,INE170V01019
EQ,16-JUN-2016,INE498E01010
EQ,15-FEB-1995,INE924A01013
EQ,24-NOV-2004,INE658G01014
EQ,02-DEC-2015,INE457F01013
EQ,05-JUN-1996,INE699B01027
EQ,22-NOV-2016,INE782L01012
EQ,26-NOV-2002,INE583B01015
EQ,02-APR-2018,INE278H01035
EQ,17-JUL-1996,INE495C01010
EQ,10-MAY-1995,INE999B01013
EQ,23-MAY-2011,INE263L01013
EQ,24-JAN-2007,INE989A01024
EQ,19-MAY-2003,INE058A01010
EQ,27-MAR-2006,INE890C01046
EQ,03-DEC-2009,INE385C01013
EQ,30-JUL-1997,INE979A01017
EQ,19-JAN-2007,INE453D01025
EQ,09-SEP-2005,INE231F01020
EQ,05-OCT-2010,INE019J01013
EQ,27-DEC-2006,INE176C01016
EQ,26-AUG-2015,INE836B01017
EQ,03-OCT-2017,INE123W01016
EQ,01-MAR-1995,INE062A01020
EQ,10-OCT-2017,INE224E01036
EQ,29-NOV-2000,INE513A01014
EQ,09-MAY-2017,INE807K01035
EQ,20-MAR-2012,INE839M01018
EQ,13-AUG-1997,INE109A01011
EQ,18-MAR-2014,INE480C01012
EQ,28-JUN-1995,INE497B01018
EQ,26-SEP-2006,INE818A01017
BE,21-AUG-2007,INE105I01012
EQ,27-JUL-2012,INE735M01018
EQ,10-MAR-2016,INE807F01027
EQ,29-MAR-1995,INE630A01016
EQ,01-JUL-2016,INE878E01021
EQ,09-DEC-2016,INE916U01025
BE,22-MAY-2007,INE883G01018
EQ,10-APR-2006,INE353H01010
EQ,16-JUN-2005,INE640C01011
EQ,29-JAN-2015,INE908D01010
EQ,15-DEC-2017,INE597J01018
EQ,03-MAR-2008,INE849C01026
EQ,05-APR-2017,INE274V01019
EQ,17-JAN-1996,INE631A01022
EQ,23-SEP-2014,INE221J01015
EQ,03-SEP-2015,INE597I01010
BZ,07-DEC-2011,INE028B01029
EQ,01-OCT-2014,INE363M01019
EQ,03-DEC-2009,INE790G01031
BZ,08-APR-2011,INE510K01019
EQ,21-MAR-2001,INE196B01016
EQ,21-NOV-2006,INE637H01024
EQ,26-FEB-2018,INE644Y01017
EQ,26-DEC-2017,INE705C01020
EQ,16-NOV-2015,INE500L01026
EQ,23-MAY-2005,INE498B01024
EQ,26-APR-1995,INE070A01015
EQ,10-SEP-2015,INE712K01011
EQ,13-MAR-2000,INE879A01019
EQ,06-NOV-1996,INE231C01019
EQ,01-MAR-1995,INE757B01015
BE,02-JUN-2016,INE526E01018
EQ,04-APR-2005,INE722A01011
EQ,20-FEB-2008,INE964H01014
EQ,28-JUL-2015,INE979R01011
EQ,06-NOV-2006,INE635A01023
EQ,21-AUG-2008,INE176J01011
EQ,28-APR-1999,INE075B01012
EQ,06-SEP-1995,INE003A01024
EQ,29-AUG-2018,INE529F01035
BE,27-JAN-2004,INE173A01025
EQ,22-MAY-1996,INE923A01015
EQ,14-MAR-2016,INE748T01016
EQ,09-MAR-2004,INE059B01024
EQ,05-NOV-1998,INE429C01035
EQ,10-AUG-2017,INE285J01010
BE,07-APR-2008,INE686I01011
EQ,10-JAN-2007,INE965H01011
EQ,29-JAN-2007,INE076B01028
EQ,20-MAY-2010,INE002L01015
EQ,27-JAN-1999,INE640A01023
BE,09-OCT-1996,INE429F01012
EQ,27-MAY-2015,INE439E01022
EQ,14-MAR-1997,INE411D01015
EQ,11-APR-2001,INE178C01020
EQ,29-AUG-2003,INE294B01019
BE,09-MAR-2010,INE215G01021
EQ,17-AUG-2017,INE320X01016
EQ,28-FEB-2007,INE812G01025
EQ,12-SEP-2014,INE734N01019
EQ,20-DEC-2006,INE671H01015
EQ,27-JUN-2018,INE624Z01016
EQ,03-APR-2006,INE343H01029
EQ,22-NOV-1995,INE355A01028
EQ,14-AUG-1996,INE314C01013
EQ,18-JUL-2016,INE323J01019
EQ,28-JUL-1999,INE269A01021
EQ,06-DEC-2005,INE034H01016
EQ,28-JUN-1995,INE035D01012
EQ,08-DEC-1998,INE683A01023
EQ,12-AUG-2016,INE212I01016
EQ,18-JUL-2007,INE232I01014
BE,10-JAN-2017,INE970N01027
EQ,30-MAY-2012,INE247M01014
EQ,25-JAN-2019,INE020801028
BE,20-DEC-2006,INE376C01020
EQ,10-JAN-1996,INE147A01011
EQ,27-MAY-2008,INE927C01020
EQ,26-JUL-2005,INE978G01016
EQ,14-FEB-1996,INE937A01023
EQ,08-AUG-2017,INE501W01021
BE,12-JAN-2011,INE268L01020
EQ,26-OCT-2009,INE201K01015
EQ,01-JAN-2014,INE099F01013
EQ,20-DEC-1995,INE872A01014
EQ,18-AUG-2003,INE647A01010
EQ,08-MAY-2007,INE917H01012
EQ,28-AUG-2007,INE943C01027
BZ,16-SEP-2011,INE219H01039
EQ,11-DEC-1996,INE721A01013
EQ,06-JUN-2005,INE802C01017
EQ,25-JUL-2016,INE224E01028
EQ,02-FEB-2000,INE939A01011
EQ,16-JUN-2017,INE460H01021
EQ,13-SEP-1995,INE733A01018
EQ,01-APR-2003,INE655A01013
EQ,20-JUL-2017,INE503B01013
EQ,09-FEB-2011,INE577L01016
EQ,02-FEB-2006,INE334A01023
EQ,06-DEC-1995,INE090C01019
EQ,08-DEC-2000,INE089C01029
BE,10-JUL-1996,INE845C01016
EQ,05-SEP-2003,INE754A01014
EQ,13-JUL-2005,INE287B01021
EQ,25-MAY-1995,INE659A01023
BE,19-FEB-2008,INE216G01011
EQ,10-DEC-2010,INE235C01010
EQ,28-JAN-2011,INE519C01017
EQ,23-OCT-2012,INE105A01035
EQ,02-JUN-2010,INE108E01023
EQ,07-JAN-1998,INE660A01013
EQ,26-MAR-2018,INE202Z01029
EQ,17-JUL-1996,INE073D01013
EQ,07-JUN-2000,INE387A01021
EQ,29-SEP-2005,INE947A01014
BE,02-MAR-2006,INE305H01028
EQ,08-FEB-1995,INE044A01036
EQ,13-NOV-2009,INE805D01034
EQ,24-APR-2006,INE424H01027
EQ,26-SEP-2014,INE712B01010
EQ,08-JUL-2004,INE662A01027
EQ,13-OCT-1999,INE663A01017
EQ,18-FEB-2005,INE399C01030
EQ,19-JUL-1995,INE195A01028
EQ,18-OCT-2007,INE550H01011
EQ,07-JAN-2011,INE272L01022
EQ,22-MAY-2002,INE130B01031
EQ,15-JUN-2005,INE713B01026
EQ,10-MAY-1995,INE335A01012
EQ,14-DEC-2006,INE645H01027
EQ,23-OCT-2003,INE495B01038
EQ,19-OCT-2005,INE040H01021
EQ,29-MAY-2012,INE665A01038
EQ,06-DEC-1995,INE277A01016
EQ,09-MAY-2006,INE409B01013
EQ,15-JUN-2011,INE225D01027
BE,15-FEB-2010,INE602K01014
EQ,22-DEC-1999,INE667A01018
EQ,11-AUG-2015,INE398R01022
EQ,27-JUL-1995,INE123C01018
EQ,20-DEC-2000,INE586B01026
