SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL
Tata Coffee Limited,CONSCOFFEE,TATACOFFEE
Tata Communications Limited,VSNL,TATACOMM
Tata Global Beverages Limited,TATATEA,TATAGLOBAL
Tata Investment Corporation Limited,INVESTCORP,TATAINVEST
Tata Motors Limited,TELCO,TATAMOTORS
Tata Sponge Iron Limited,IPITATASPO,TATASPONGE
Tata Steel Bsl Limited,BHUSANSTL,TATASTLBSL
Tata Steel Limited,TISCO,TATASTEEL
Tata Teleservices (Maharashtra) Limited,HUGHESTELE,TATATELSER
Tata Teleservices (Maharashtra) Limited,TATATELSER,TTML
Techindia Nirman Limited,NATHSEED,TECHIN
Texmaco Infrastructure & Holdings Limited,TEXMACOLTD,TEXINFRA
The Investment Trust Of India Limited,FORTUNEFIN,THEINVEST
The Madras Aluminium Company Limited,MADRASALMN,MALCO
The Ramco Cements Limited,MADRASCEM,RAMCOCEM
Timken India Limited,TATATIMKEN,TIMKEN
Tirupati Forge Limited,FORGE,TIRUPATIFL
Torrent Power AEC Limited,AHMEDELEC,TORRENTAEC
Torrent Power SEC Limited,SURATELEC,TORRENTSEC
Trent Limited,LAKME,TRENT
Trident Limited,ABSHEKINDS,TRIDENT
Trigyn Technologies Limited,LEADEDSYS,TRIGYN
UFLEX Limited,FLEX,UFLEX
UPL Limited,UNIPHOS,UPL
Ujaas Energy Limited,MBSWITCH,UJAAS
Usha Martin Education & Solutions Limited,UMITL,UMESL
Usha Martin Limited,USHABEL,USHAMART
Uttam Value Steels Limited,LLOYDSTEEL,UTTAMVALUE
V2 Retail Limited,VISHALRET,V2RETAIL
VA Tech Wabag Limited,VATECH,WABAG
VIP Clothing Limited,MAXWELL,VIPCLOTHNG
VTX Industries Limited,VIJAYTEX,VTXIND
Vaibhav Global Limited,VAIBHAVGEM,VAIBHAVGBL
Vakrangee Limited,VAKRANSOFT,VAKRANGEE
Value Industries Limited,VDOCONAPPL,VALUEIND
Vardhman Holdings Limited,VSGML,VHL
Vardhman Textiles Limited,MAHAVIRSPG,VTL
Vatsa Music Limited,BABABUSERV,VATSMUSC
Vedanta Limited,SESAGOA,SSLT
Vedanta Limited,SSLT,VEDL
Venky's (India) Limited,WESTHATCH,VENKEYS
Videocon Industries Limited,VDOLEASE,VIDEOIND
Vidhi Specialty Food Ingredients Limited,VIDHIDYE,VIDHIING
Vikas EcoTech Limited,VIKASGLOB,VIKASECO
W S Industries (I) Limited,WSIND,WSI
WABCO India Limited,WABCO-TVS,WABCOINDIA
Wartsila India Limited,WARTDEISEL,WARTSILA
Welspun Corp Limited,WELGUJ,WELCORP
Welspun Enterprises Limited,MSKPROJ,WELPROJ
Welspun Enterprises Limited,WELPROJ,WELENT
Wendt (India) Limited,WENDTINDIA,WENDT
Windsor Machines Limited,DGPWINDSOR,WINDSOR
Winsome Diamonds and Jewellery Limited,SURAJDIAMN,WINSOMEDJ
Wopolin Plastics Limited,BAJAJPLAST,WOPOLIN
Wyeth Limited,WYETHLEDE,WYETH
XL Energy Limited,XLTL,XLTELENE
XL Energy Limited,XLTELENE,XLENERGY
Xchanging Solutions Limited,SCANDENT,CAMBRIDGE
Xchanging Solutions Limited,CAMBRIDGE,XCHANGING
Zandu Realty Limited,ZANDUPHARM,ZANDUREALT
Zee Entertainment Enterprises Limited,ZEETELE,ZEEL
Zee Media Corporation Limited,ZEENEWS,ZEEMEDIA
Zensar Technologies Limited,FUJITSICIM,ZENSARTECH
Zuari Global Limited,ZUARIAGRO,ZUARIGLOB
e-Serve International Limited,CITICORSEC,E-SERVEINT
iGate Global Solutions Limited,MASCOT,IGS
