SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
TEXMACO RAIL,54.5,56.1,54.35,55.9,55.6,53.85,232,19139,1055907,
IND TERRAIN ,116.8,119,115.55,116.25,116.25,117.65,28,201,23404,
FINEOTEX  CH,33.3,34.15,33.3,33.5,33.5,34.05,144,15126,509442,
DHUNINV     ,241.45,254.9,240,240,240,240.4,7,21,5154,
ZEN TECH    ,67.85,68.45,66.5,67.75,66.5,68,29,2303,156096,
LOVABLE     ,89.95,90.85,88.75,89.85,90.8,88.95,51,2402,215645,
PTCFIN SER  ,14.2,14.6,13.8,14.32,14.47,14.19,167,31212,444960,
N100        ,500,500,497,498.37,497,500,22,171,85238,
SHILPI CABLE,1.3,1.35,1.28,1.3,1.3,1.33,21,7653,10216,
MUTHOOT FIN ,521,524.65,517.5,519.7,519.7,520.3,328,15322,7976616,
FCONSUMER   ,44.4,45.5,44.4,45.35,45.5,44.55,573,134518,6067868,
SANGH FORG  ,23.5,25.8,23.5,23.5,24.65,24.7,13,742,17451,
VMS INDUSTR ,17.5,18,17.5,18,18,18.95,4,102,1810,
WEIZMANN FX ,516.7,521.6,513.1,519.15,521.6,512.35,16,120,61981,
RUSHIL DECOR,471.15,471.15,438.1,456.3,456.3,458.75,175,1676,764071,
ENKEI WHEEL ,392.8,393,380,383.1,380,391.65,35,1415,547304,
KRIINFRA    ,31.9,32.35,31.65,32.3,32.3,31.25,77,9917,317080,
BGLOBAL     ,2.14,2.14,2.13,2.13,2.13,2.24,13,6320,13471,
INVENTURE   ,13.9,13.9,13.75,13.75,13.75,13.81,3,450,6225,
LNT FH      ,124,124.5,122.7,124.25,124.25,122.7,1655,266465,32977129,
IBULISL     ,211.25,223.7,211.25,221.35,223,215.2,352,16293,3577546,
TREE HOUSE  ,4.11,4.11,4.11,4.11,4.11,4.11,1,60,246,
BROOKS LABS ,40.5,41.7,39.1,40.4,41.65,40.6,57,3299,132103,
RUPA & CO   ,308.6,309.35,308.6,309.2,309.35,309.45,6,100,30889,
TD POWER    ,120.35,120.55,120.3,120.55,120.55,126.05,3,46,5540,
SRS LIMITED ,0.27,0.28,0.27,0.27,0.27,0.27,18,47968,13277,
ALEM PHARMA ,533.9,545,519,524.25,529.9,538.6,260,2857,1524250,
VASWANI IND ,8,8.99,8,8.97,8.99,8.55,8,353,3065,
PG ELECTRO  ,76,76.2,72,72.45,72.45,73.4,125,6335,466850,
PRAKASH CON ,3.11,3.28,3.1,3.24,3.24,3.21,23,20023,64144,
RDB RASAYAN ,43,43.45,42.25,43.4,43.45,43.45,18,1022,43973,
TIJARIA PPL ,12.5,13.25,12.5,12.75,12.5,12.8,10,693,8926,
ONELIFE CAP ,10.93,10.93,10.93,10.93,10.93,11.5,1,300,3279,
FLEXITUFF   ,45,45,45,45,45,46.55,1,18,810,
UJAAS       ,7.6,8.3,7.36,7.85,7.85,7.5,415,155343,1215168,
TRIVENITURB ,100.55,101.25,100.05,101.05,100.1,101.4,30,671,67619,
INDO THAI   ,27,29,26.15,29,29,27.65,4,200,5457,
ESSAR SHIP  ,9.97,10.3,9.97,10.05,10.05,9.9,11,2355,23884,
APL APOLLO  ,1110.1,1110.1,1079,1082.8,1082,1109.2,195,1141,1242978,
GPT INFRA   ,45.25,45.25,43,44,43,43.1,10,25424,1118820,
FERVENTSYN  ,25.95,25.95,25.95,25.95,25.95,26.25,1,50,1297,
TERASOFTWARE,37.05,38,36.55,37.15,37,38,33,1657,61482,
PMCFIN      ,0.4,0.4,0.38,0.4,0.4,0.39,48,101704,39740,
ORIENT REF  ,192.6,192.75,184,186.85,187,192.8,135,6478,1222414,
MCX LTD     ,666.85,674.1,661.7,669.9,669.9,664.7,430,11852,7925325,
SCHNEIDER   ,87.85,87.85,83.35,84.3,84.3,86.95,169,12424,1061029,
NORL        ,0.36,0.38,0.36,0.36,0.36,0.37,57,361841,132876,
NBCC        ,51.15,51.4,50,51.15,51.15,50.6,1426,549443,27933084,
MT EDUCARE  ,48.05,53.3,48.05,52.2,52.2,49.2,55,6687,334674,
MAXHEIGHTS  ,17.6,18.1,17.4,17.55,17.5,17.6,33,35230,619393,
TBZ LTD     ,53.5,55.5,53.5,54.95,55,53.85,97,8058,442320,
VSSL        ,89.7,92.35,87.05,88.85,88.5,86.05,60,1859,163950,
LOOKS       ,8.8,8.8,8.8,8.8,8.8,8.5,1,10000,88000,
SPECIALITY R,91.1,93,90.4,91.75,93,90.1,161,3516,320770,
LYPSA GEMS  ,5.84,5.99,5.65,5.91,5.91,5.94,31,8455,49009,
RTNINFRA    ,2.5,2.79,2.5,2.65,2.65,2.67,63,13682,36065,
JTL INFRA   ,134.9,134.9,128.6,128.65,129,128.25,30,1188,154581,
AMTL        ,27,28.3,27,28,28,27.05,32,3924,109136,
NECC LTD    ,7.39,7.39,7.15,7.18,7.15,7.36,11,930,6722,
SAREL       ,13.5,13.9,13.4,13.4,13.4,13.5,8,1286,17375,
JUPITER INFO,56.35,60.5,56.35,59.35,60.5,59,12,1309,77040,
DUCON       ,10,10.25,9.95,10.2,10.2,10.04,16,6368,64958,
PROZONINTU  ,27.55,27.8,26.65,27,26.8,27.55,56,7153,194255,
SRG HFL     ,229,232,225,229.65,230,227.6,16,430,98159,
LAKSHMIVILAS,55.35,56.6,54.9,55.9,55.9,55.85,365,59404,3309240,
COMFORT COM ,4.2,4.44,3.95,3.96,4.44,4.2,4,510,2029,
RMCHEM      ,1.93,1.93,1.93,1.93,1.93,1.96,4,4300,8299,
VIRTUAL GLO ,0.24,0.24,0.22,0.24,0.23,0.23,90,133125,30654,
ZUARI AGRO  ,179.4,184.45,176.8,182.7,182.5,176.75,213,8744,1584276,
STEEL EXCH  ,13.99,13.99,12.11,13.01,13.35,13.74,26,4524,57941,
TARA JEWELS ,0.59,0.59,0.59,0.59,0.59,0.62,2,233,137,
CIGNITI TECH,328,345,321,341.8,345,327.9,87,3079,1037805,
CARERATING  ,958.5,960,950.4,957.45,958.65,959.15,99,829,791856,
PC JEWELLER ,67.25,68.55,67.05,67.45,67.45,67.25,3087,877023,59458736,
BH INFRATEL ,317.95,322.5,314.05,317.7,317.7,319.65,907,83235,26421665,
COVIDH      ,0.65,0.65,0.65,0.65,0.65,0.68,3,2510,1631,
VMART       ,2465,2567.7,2449,2546.45,2567.5,2456.55,195,408,1011372,
SUNSTAR R   ,0.49,0.49,0.49,0.49,0.49,0.49,27,13658,6692,
MYSTICELE   ,7.08,7.08,6.42,7,7,6.75,13,1136,7437,
COM FINCAP  ,16.5,16.75,16.45,16.5,16.5,16.5,54,15783,261936,
SBISENSEX   ,374.81,374.81,373,374.75,374.75,372.48,44,2251,841795,
REPCO HOME  ,315.55,324,310.9,316.9,316.9,315.25,727,28223,8895691,
NRB IND BEA ,18.9,19,18.75,19,19,19.1,5,1509,28516,
AIFL        ,10.15,11.15,10.15,11.15,11.15,10.65,109,24716,271249,
SREELEATHER ,208.9,221,207,217.65,217,218.75,10,218,47297,
SHARDA MOTOR,1181,1216.45,1176.15,1200.55,1200,1174.7,36,726,865018,
BINNY MILLS ,59.5,59.5,59.5,59.5,59.5,60.7,1,65,3867,
SV GLOBAL   ,56.7,56.7,56.7,56.7,56.7,59.65,11,188,10659,
JUSTDIAL    ,472,477.85,464,474.6,475,472.3,989,81753,38506637,
PAWANSUT    ,2.01,2.01,2.01,2.01,2.01,1.98,14,7780,15637,
IFINSEC     ,22.3,22.3,22.3,22.3,22.3,23.45,1,100,2230,
BRAHM INFRA ,23.05,23.05,23.05,23.05,23.05,22.6,1,4,92,
EDSL        ,0.37,0.38,0.37,0.38,0.38,0.38,2,1050,398,
ORIENT CEM  ,64.45,67.45,64.45,67,67,65.5,48,5021,333193,
ABFRL       ,215.55,220.5,212.1,217.25,219.3,215.2,1832,116580,25102176,
IBUL HSG FIN,621,653,620.4,646.15,646.15,614.5,9314,505842,321406112,
