SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
UTISENSETF  ,375.01,380,375,380,380,380,9,165,62173,
VETO        ,65.75,66.25,58.75,60.1,60.5,64.45,239,12372,757219,
NAVKARCORP  ,38.55,40.6,37.45,39.25,39.25,37.3,606,52443,2082969,
PENPEBS     ,49.5,50.95,48.8,49.2,49.15,50.3,17,996,49397,
SHREEPUSHK  ,131.8,132,125.05,127.25,127.4,129.85,377,11515,1472623,
GUJGAS      ,118,119.5,117.55,118.25,118.25,116.75,176,5771,682625,
SADBHIN     ,81.75,82.35,81.7,82.35,82.35,82.35,4,232,19015,
PRABHAT     ,53.85,55.8,53.85,54.35,54.2,54.25,146,10701,582570,
SWARAJAUTO  ,189.95,209,189.95,208.35,209,190,70,3249,656864,
POLYSPIN    ,121.1,124,115.5,121,120,127.35,54,2834,339743,
PRITIKAUTO  ,157.2,160,153.7,154.85,155.5,157.2,59,10698,1667013,
SKC         ,29.65,29.65,29.65,29.65,29.65,31.2,4,3400,100810,
SANGFROID   ,1.15,1.15,1.15,1.15,1.15,1.15,1,25,28,
MALLCOM     ,200,200,200,200,200,200,2,50,10000,
VAL         ,20.9,20.9,20.9,20.9,20.9,21,1,4000,83600,
SATIN       ,225.35,229.15,225.3,227.15,229.15,226.65,86,2195,497104,
GENCON      ,140.3,140.3,137.5,139.25,139.25,140.3,84,18250,2530030,
WELCON      ,6.59,6.59,6.59,6.59,6.59,6.93,4,260,1713,
TEJNAKSH    ,60,60,46.5,54.85,54.85,50,30,1823,96158,
RFSL        ,21.05,21.05,21.05,21.05,21.05,22.15,1,54,1136,
COFFEEDAY   ,280.8,281.85,273.15,276.15,276.15,280.8,368,6725,1867492,
IDFCFIRSTB  ,43.6,44.9,43.6,44.7,44.7,43.5,1516,1407136,62381500,
BEARDSELL   ,16.35,16.4,14.5,14.9,14.9,14.65,44,11197,167424,
INDIGO      ,1101.75,1145.65,1087.95,1136.75,1136.75,1101.75,2840,93291,104550123,
SHK         ,144.45,146,138,138.65,138.65,142.85,141,2814,396400,
GTV         ,26.5,27,26.5,27,27,25.75,2,15,402,
HDFCNIFETF  ,1112.06,1112.56,1112.06,1112.56,1112.56,1112.24,2,6,6673,
SXETF       ,3725.26,3725.26,3715,3716.14,3716.14,3728.3,66,12648,47016438,
UDAYJEW     ,71,71,71,71,71,73.6,1,30,2130,
MAYUKH      ,9.75,9.75,9.6,9.75,9.75,9.55,12,10779,104495,
SHAILJA     ,17.6,17.6,16.85,17.2,17.2,17.2,56,146641,2499359,
ALKEM       ,1847.75,1851,1830.55,1836.2,1843,1843.75,66,182,334075,
LALPATHLAB  ,1021.15,1043,1014.7,1028.1,1028.1,1028.5,209,1639,1690497,
NAVKETAN    ,0.42,0.42,0.42,0.42,0.42,0.44,1,300,126,
LUXIND      ,1112,1159,1082.85,1108,1108,1110.75,527,2952,3226936,
APOORVA     ,28.1,28.1,28.1,28.1,28.1,27.55,2,134,3765,
BNL         ,5.35,5.35,5.35,5.35,5.35,5.13,1,50,267,
NH          ,201.9,203,199.25,199.95,200,198.9,51,647,130030,
MISHTANN    ,51.25,51.25,49.25,49.25,49.25,50.25,947,259370,12896660,
JSLHISAR    ,78.5,81.7,78.15,78.9,78.9,79.7,2057,166172,13283690,
KEL         ,18.05,18.25,18.05,18.25,18.25,18.95,3,650,11752,
AINFRA      ,24.8,24.8,23.6,23.6,23.6,24.8,2,51,1204,
PRECAM      ,51,51,50,50.2,50,50.95,22,1244,62392,
TEAMLEASE   ,3109.05,3156.65,3067.45,3093.3,3104.05,3109.55,539,7719,24101232,
SAHYOGMULT  ,21.46,21.47,21.46,21.47,21.47,21.89,42,208867,4482286,
RGF         ,1.8,1.8,1.8,1.8,1.8,1.8,1,10,18,
QUICKHEAL   ,174.5,178.8,174,177.5,178.3,174.05,382,16533,2924806,
KPEL        ,205,205,205,205,205,190,1,3,615,
IFINSER     ,20.95,20.95,20.95,20.95,20.95,20.95,1,252,5279,
AIRL        ,13.3,13.95,13.3,13.95,13.95,13.3,3,50,696,
GOKULAGRO   ,13.8,13.8,13.25,13.25,13.25,13.9,11,942,12482,
FREDUN      ,361.9,369.4,336,365.15,365,361.9,29,954,337064,
SIMBHALS    ,8.4,8.4,8.05,8.35,8.35,8.09,5,606,4890,
RELICAB     ,42,45,42,45,45,41.25,7,153000,6876000,
DARJEELING  ,106.5,106.5,104.5,104.6,104.6,105.7,62,12724,1336949,
ADVIKCA     ,2,2.1,1.9,1.9,1.9,2,5,255,504,
PDMJEPAPER  ,17.5,17.5,16.75,16.95,16.95,16.7,50,11152,190248,
HCG         ,196,207.4,193,203.95,206,201.4,77,1986,401071,
UMIYA       ,9.52,9.56,9.2,9.5,9.5,9.38,61,12465,115105,
BHARATWIRE  ,55.75,62.25,55.75,60,60,58.3,18,1938,117737,
INFIBEAM    ,36.85,38.5,36.2,37.65,37.65,36.9,2785,1214320,45250316,
RADHEY      ,14.55,14.55,14.55,14.55,14.55,14.65,3,5000,72750,
FRANKLIN    ,28.5,33.5,28.5,30,30,30.6,14,60000,1844000,
LANCER      ,72.6,72.6,72.6,72.6,72.6,69.15,9,467,33904,
SYSCO       ,2.27,2.27,2.27,2.27,2.27,2.23,1,2500,5675,
EQUITAS     ,111.5,113.95,110.35,110.9,110.9,110.9,1594,222086,24788369,
HALDER      ,22.78,22.78,22.78,22.78,22.78,21.7,1,1,22,
SKIL        ,11.85,11.85,11.85,11.85,11.85,12.45,2,119,1410,
THYROCARE   ,545.9,545.9,520.15,524.7,524.7,539.4,80,553,294245,
BAJAJHCARE  ,400,410,400,410,410,389,2,800,324000,
UJJIVAN     ,272.65,276,268.95,273.45,273.45,269.45,903,64845,17757622,
CROMPTON    ,195.5,204.8,194.7,200.95,200.95,195.2,505,16108,3182495,
PILANIINVS  ,1960,1960,1910.55,1943.2,1950,1916.7,36,218,422780,
DARSHANORNA ,46.5,46.5,46.5,46.5,46.5,48.9,18,7602,353493,
PARAGMILK   ,202.25,204.9,198.7,203.05,201.8,202.25,170,6229,1260676,
DIDL        ,11.1,11.25,11.1,11.18,11.25,11.61,5,16000,178900,
NAGARFERT   ,6.5,6.7,6.17,6.55,6.5,6.13,148,56445,363490,
MIL         ,99.95,99.95,99.95,99.95,99.95,98,5,2725,272363,
YASHCHEM    ,79.15,81,79.1,79.75,80.8,80.55,15,4575,364886,
MAXVIL      ,43,43.3,42.35,42.6,42.5,42.85,20,1180,50184,
TAALENT     ,226,227,226,226.5,226.5,226,4,194,43956,
MGL         ,876,883,859.85,863.45,863.05,867.55,568,11375,9875575,
QFSL        ,0.22,0.22,0.22,0.22,0.22,0.23,7,10996,2419,
ZEAL        ,104,104,104,104,104,99,1,750,78000,
QUESS       ,645.85,669.6,645.85,661.65,662,640.4,473,9893,6566372,
DIGJAMLTD   ,3.22,3.39,3.22,3.24,3.23,3.35,57,34647,113009,
ICICIMCAP   ,61,61.3,60.94,61.3,61.3,60.85,3,151,9253,
MAXINDIA    ,76.75,78.15,76.6,77.95,78.15,76.35,20,1064,82326,
COMSYN      ,39.5,39.5,36.5,39.5,39.5,39.5,6,21000,809100,
LLOYDSTEEL  ,0.9,0.95,0.89,0.93,0.95,0.91,107,201825,186389,
LTI         ,1738.5,1767,1676.85,1735.75,1735.75,1731.85,1393,12549,21633777,
BULL        ,158.2,159.9,156.7,157.85,156.7,158.2,42,7468,1179937,
COLORCHIPS  ,79,80.05,79,80,80,79,40,13337,1062753,
ASHARI      ,5.52,5.52,5.32,5.52,5.52,5.42,41,46844,258532,
ADVENZYMES  ,163,167.85,157,158.35,157.95,159.55,375,20433,3252240,
LAHL        ,2.71,2.71,2.71,2.71,2.71,2.85,2,500,1355,
PTIL        ,351.1,354.5,350,353.2,353,349.05,247,72850,25686937,
DBL         ,464.85,472.2,444.45,449.05,449.05,460.35,2051,51122,23222380,
SPAL        ,254.95,255,252,253.75,255,252.65,11,1168,297469,
BIGBLOC     ,28.55,28.6,27.95,28.6,28.6,27.95,5,182,5163,
ECS         ,2.7,2.7,2.7,2.7,2.7,2.8,6,1051,2837,
FRETAIL     ,427.4,435,427.4,430.55,434.2,425.1,637,14628,6297239,
RBLBANK     ,548.65,556.5,546.65,555.15,555.15,545.85,1225,42955,23687449,
CAMSONSEEDS ,4.16,4.35,4.16,4.17,4.16,4.16,13,4017,16797,
BLS         ,96.05,96.05,94,94.45,94.95,94.8,78,4706,447407,
GOVNOW      ,1.79,1.79,1.79,1.79,1.79,1.88,2,1000,1790,
RSTL        ,12.6,12.6,12.6,12.6,12.6,12,1,3000,37800,
TVVISION    ,2.71,2.71,2.71,2.71,2.71,2.59,1,1,2,
SPICY       ,18.4,19.95,18.2,19.65,19.95,18.45,15,240000,4546000,
TAHL        ,81.9,84.95,81.9,84.2,84.2,83.55,45,7716,644224,
LTTS        ,1433.95,1465.95,1405,1460.9,1465.95,1417.1,1167,21753,31413261,
GNA         ,263.4,264.65,258,260.75,260,263.3,161,6897,1804830,
ICICIPRULI  ,303.9,305.4,300,302.45,302.45,300.65,1218,729404,219310904,
IISL        ,22.85,23,22.3,22.4,22.3,22.8,22,6036,137611,
HPL         ,45,45.9,44.9,45.25,45.15,44.9,50,3711,167715,
SAGARSOFT   ,87,93,87,92.1,92.8,88.05,49,4017,369625,
DRA         ,11.05,11.05,11.05,11.05,11.05,10.85,1,2500,27625,
VALIANTORG  ,1300,1300,1271,1271,1271,1290,6,900,1155900,
ACML        ,70,70,69,69,69,75,2,5000,346000,
ENDURANCE   ,1316.05,1354.05,1262.2,1289.8,1265.15,1327.95,853,16139,21483371,
PNBHOUSING  ,872.45,886.4,863.2,868.45,868.45,869.15,462,6727,5880284,
REGENCY     ,17.75,19.35,17.75,17.75,17.75,18,10,382,6862,
VBL         ,787,796.6,772.15,783.65,788.5,786.75,990,15214,11899946,
FRANKLININD ,14.5,14.5,13.25,13.25,13.25,13.9,5,132,1763,
LKPSEC      ,8,8.48,8,8.48,8.48,8.08,12,945,8001,
OSIAJEE     ,11.97,11.97,11.97,11.97,11.97,11.97,1,100,1197,
SFL         ,1291.3,1291.3,1270,1278.05,1278.05,1291.05,30,142,182532,
AVL         ,60,60,60,60,60,55,2,4000,240000,
TMRVL       ,30.6,31.45,30.15,31.05,31.2,29.9,26,16746,507566,
TCIEXP      ,620.15,625,620,622.05,621.45,622.5,18,149,92735,
LAURUSLABS  ,329.6,333.05,328.1,330.25,328.1,331.55,71,1169,385799,
NEWLIGHT    ,42.85,44.6,40.4,44.05,44.6,42.5,82,43544,1889726,
SHANGAR     ,21.9,21.9,21,21,21,20.95,3,10000,214500,
FLORACORP   ,13.75,13.75,13.5,13.75,13.75,13.1,10,6915,95075,
DHANVARSHA  ,43.55,43.55,43.55,43.55,43.55,41.5,2,239,10408,
PRICOLLTD   ,35.95,36.55,35.2,35.75,35.35,35.65,44,2343,83829,
JITFINFRA   ,14.55,14.8,14.5,14.7,14.5,14.75,7,3023,44400,
LLFICL      ,38.5,40.3,38.4,40.3,40.3,38.5,21,7101,274509,
DANUBE      ,5.04,5.04,4.7,5.04,5.04,4.8,18,15777,76662,
RADIOCITY   ,59.45,63.9,55,56.3,56.3,278.2,215,13051,757678,SS
DMART       ,1435.2,1489.8,1435.2,1468.2,1468.2,1429.4,3082,57431,84267043,
ONTIC       ,6.37,6.37,6.37,6.37,6.37,6.5,1,100,637,
SMLT        ,29,29,29,29,29,30,2,4000,116000,
MANOMAY     ,32.6,35.1,32.6,35.1,35.1,34.7,4,16000,541200,
MAXIMUS     ,55,55,55,55,55,55.1,1,3000,165000,
CLEDUCATE   ,120,120,116.1,116.1,116.1,116,2,29,3386,
PRIME       ,100.5,110,100,110,110,105,9,131000,13119600,
OCEANIC     ,114.5,114.5,114.5,114.5,114.5,105.5,2,7000,801500,
SHANKARA    ,487,492.35,451.8,461.7,461.7,468.95,2234,61462,29609883,
SCHAND      ,181.05,186.75,178.15,179.4,180.35,184.5,87,1400,253072,
IRBINVIT    ,67.69,67.69,67.01,67.01,67.01,67.3,3,15000,1008550,
HUDCO       ,38.4,38.8,38.15,38.45,38.45,38.25,509,100102,3853892,
PSPPROJECT  ,386.6,388.3,384,385.2,384,384.45,168,618,238004,
AXISAEGPG   ,9,9,9,9,9,8.72,1,59,531,
INDIGRID    ,84.3,84.3,84.2,84.2,84.2,84.96,2,35721,3008728,
STARCEMENT  ,99.2,99.45,95.6,96.4,97,98.9,41,1572,152066,
HEOF1126RG  ,9.18,9.18,8.63,8.68,8.68,9,7,21602,198305,
TEJASNET    ,130.9,152.2,129,152.2,152.2,126.85,1600,66480,9564480,
ERIS        ,629.95,630.05,605,623.1,617,616.95,76,466,286315,
GTPL        ,80.55,80.9,80.55,80.9,80.9,81.6,5,332,26821,
AUBANK      ,563.85,571.55,560,565.35,563.05,565.8,171,2786,1574486,
GEL         ,46.2,49.75,46.1,49.65,49.65,49.95,4,24000,1150200,
GGENG       ,63.1,63.1,63.1,63.1,63.1,63,2,24000,1514400,
ARTEMIS     ,65.5,65.9,57,57.55,60,56.75,25,480,28805,
BHAGYAPROP  ,27.4,29.25,27.4,29.25,29.25,27.6,3,450,12515,
SALASAR     ,235.35,235.35,231.55,234.05,234,237.75,27,6103,1428110,
GANGESSEC   ,42.4,46.8,42.4,46.75,46.8,44.6,63,52286,2328516,
AVADHSUGAR  ,415.05,427,408,412.7,412.7,408.15,311,9553,3992911,
MAGADHSUGAR ,101,113.5,101,104.5,105.6,103.5,222,11890,1286965,
SINTEXPLAST ,17.4,19.1,17.25,18.6,18.6,17.35,776,208342,3784508,
COCHINSHIP  ,338.3,341.9,337.55,341.65,341.65,340.15,152,2521,856734,
SMSLIFE     ,571,571,550.05,553,552.05,554.05,25,546,305689,
KIOCL       ,120.7,127,120.7,124.45,124,123.4,29,2430,303216,
ABCAPITAL   ,80.8,82.35,80.75,81.8,81.8,80.45,1704,157028,12842314,
APEX        ,288,288,282.15,285.15,287,282.6,406,11059,3147861,
ANG         ,33.7,33.7,33.7,33.7,33.7,33.8,1,3200,107840,
AMFL        ,4.22,4.5,4.22,4.5,4.5,4.68,2,24000,103520,
NEL         ,1.28,1.28,1.17,1.18,1.18,1.3,8,32000,38200,
DIXON       ,2231,2284.7,2230,2249,2230,2200.45,158,616,1387409,
DCAL        ,184,190,184,186.95,187.9,187.15,106,1441,269537,
LASA        ,19,19.8,18.55,19.8,19.8,18.9,30,8670,170475,
MATRIMONY   ,382.95,382.95,368.4,368.55,368.5,381.95,17,48,17805,
RELHOME     ,25.8,25.9,24.2,24.9,24.75,25.8,367,31795,789463,
CAPACITE    ,192.35,196.35,191.15,194.45,194,192.8,178,5196,1010357,
ICICIGI     ,917.95,923,897.8,904.85,905.05,916.95,714,14135,12843338,
SBILIFE     ,570,570,557,560.65,560.65,563.8,235,3649,2052598,
DIAMONDYD   ,850,850,833.05,836.1,834.6,848.8,80,582,488658,
SISL        ,74.5,75,74.5,75,75,75,2,2000,149500,
TTFL        ,96.9,96.9,96.9,96.9,96.9,97,2,2000,193800,
SAYAJIIND   ,273.15,290,273.15,288,288,287,11,128,35489,
VANTABIO    ,114,119.2,114,119.2,119.2,119,2,3000,349800,
IRIS        ,30.45,30.45,30.45,30.45,30.45,29.25,1,4000,121800,
GODREJAGRO  ,478.6,484.3,476,479.15,479.5,478.45,1404,15269,7318755,
MESCON      ,14,15.15,13.9,14.05,13.95,14.6,30,3320,47161,
MASFIN      ,518.4,523.6,507.2,511,510,523.4,30,299,152914,
IEX         ,163,167,160.2,163.45,165,164.1,169,4492,738954,
GICRE       ,218,221.6,216.8,218.35,219,215.35,169,4401,966242,
KAARYAFSL   ,21.65,21.65,21.65,21.65,21.65,21.65,1,18000,389700,
SCPL        ,115,115,111,115,115,113,10,8000,910400,
TIINDIA     ,353,362.6,347.55,357.55,358,347.25,441,600598,214406386,
RNAM        ,151.9,157.5,150.05,155.9,155.9,152.05,473,23449,3625046,
MAHLOG      ,431.85,438.45,431.15,437.7,438.45,435.1,33,493,213745,
NIACL       ,168.2,175.9,168.2,170.4,169.5,170,376,4441,755571,
IFGLEXPOR   ,205.05,205.05,199.5,202.4,202,209.9,39,2095,426230,
KHADIM      ,368.05,368.05,364,365.45,364.15,376.9,16,101,36880,
5PAISA      ,230.95,232,225.35,231.7,231.7,230.95,21,125,28898,
HDFCLIFE    ,348,350.55,346.5,347.25,347.25,348.2,896,32330,11253830,
SHARIKA     ,31,31,31,31,31,28,1,3000,93000,
ICICIB22    ,33.65,33.71,33.32,33.6,33.71,33.46,123,56908,1906027,
DNAMEDIA    ,3.05,3.09,2.84,2.87,2.87,2.98,27,23571,68822,
HHOF1140RG  ,7.72,7.84,7.63,7.82,7.84,7.71,13,30500,235875,
DYNAMIC     ,24.5,24.5,24.2,24.5,24.5,25.1,3,33000,804000,
RATNABHUMI  ,111.4,111.7,111.4,111.5,111.5,111.7,21,72000,8029600,
SHALBY      ,134,134.95,132,132.9,132.9,133.9,43,2790,371006,
FSC         ,602,609,600.05,602.45,602.2,601.15,11,93,56313,
ASTRON      ,104.4,106,103.85,104.8,104,103.35,146,19210,2015408,
RCBFIVCG    ,6.16,6.16,6.16,6.16,6.16,6.16,1,6,36,
IPRU3018    ,8.28,8.33,8.28,8.33,8.33,8.31,3,6000,49730,
APOLLO      ,98.5,99.2,97.25,98.05,98.05,97.9,35,1107,108472,
NEWGEN      ,296,300.7,293.1,299.35,296,296,71,1623,484309,
PRAXIS      ,149.05,161,148.1,159.35,160.9,150.3,6,52,8166,
AMBER       ,640,683.35,638.95,649,644.95,635.6,305,1539,1000655,
CRPRISK     ,23,25,23,24.8,24.6,25,28,68000,1617100,
GALAXYSURF  ,1064,1073.85,1021,1038.95,1038.95,1017.3,253,1434,1506992,
GGL         ,127.65,127.9,127.6,127.75,127.6,127.5,16,19000,2427450,
FSSPL       ,7.24,7.69,7.21,7.21,7.21,7.58,30,212000,1575400,
LAL         ,5.83,5.83,4.61,4.61,4.61,4.86,7,70000,389300,
IWP         ,84,84.9,84,84.9,84.9,83.5,22,120550,10168095,
TDSL        ,17.25,17.25,17.25,17.25,17.25,17.25,3,30000,517500,
BHATIA      ,74,74,74,74,74,74,4,16000,1184000,
SHIVAMILLS  ,49.95,49.95,49.75,49.75,49.75,51,2,52,2597,
ASTERDM     ,158,158,153,153.8,153.15,159.35,68,1391,215382,
YSL         ,11100,11100,11100,11100,11100,10999,1,1,11100,
KANCOTEA    ,34.1,36.35,33.8,35.2,35.2,35.5,11,436,15210,
HGINFRA     ,174.75,193.95,174.75,191.6,192.7,175.1,266,9324,1714495,
BPLPHARMA   ,225,236,218.5,236,236,230,17,863,195490,
LIQUIDETF   ,999.99,999.99,999.99,999.99,999.99,1000.01,3,2002,2001979,
BDL         ,246.35,250.8,241.05,244,243,246.65,197,3312,811687,
RIDINGS     ,19.3,19.3,19.3,19.3,19.3,19.3,1,24000,463200,
BANDHANBNK  ,475.15,478.9,472.6,477.45,477.45,475.95,733,25354,12066245,
HAL         ,614,626.85,614,621.35,624.9,617.8,118,986,612529,
KARDA       ,204.8,210,201,202.25,202.25,200.15,196,5655,1149363,
SANDHAR     ,274.65,274.8,263.1,267.15,273.2,273.8,109,1060,286394,
YASHO       ,120,120,120,120,120,122,1,8400,1008000,
BENARA      ,34.5,35.9,34.5,35.8,35.9,35.85,4,24000,857800,
ISEC        ,195.55,202,192.5,196.4,196,195.6,523,12001,2386288,
MIDHANI     ,109.25,114,109.25,111.25,111.25,109.3,457,23164,2602882,
OBCL        ,47.75,47.75,47.75,47.75,47.75,46,4,28000,1337000,
LEMONTREE   ,73.5,73.75,72.65,73.45,72.65,73.2,194,5732,420530,
IPRU3081    ,8.56,8.56,8.56,8.56,8.56,8.7,1,17,145,
CHEMFABALKA ,138,138,132,134,134,139,13,864,114086,
ORIENTELEC  ,130.15,130.15,126.4,128.6,129.45,129,177,5770,741570,
INDOUS      ,75.9,75.95,75.9,75.95,75.95,69,2,4000,303700,
INDOSTAR    ,320,323.05,318.05,321.05,320,317.9,57,695,222333,
UHZAVERI    ,11.65,11.65,11.65,11.65,11.65,11.35,2,6000,69900,
PARVATI     ,2.07,2.07,2.07,2.07,2.07,1.98,2,127,262,
INNOVATORS  ,47.9,49.5,47.9,49.5,49.5,48,2,3200,155840,
ZIMLAB      ,143,143.05,138.8,138.85,138.8,143,7,180,25617,
ARIHANTINS  ,19.5,19.5,17,18.35,18.7,17.7,25,124000,2243600,
PALMJEWELS  ,30,30,30,30,30,30,1,36000,1080000,
WAA         ,32.35,32.35,32.35,32.35,32.35,30.85,1,800,25880,
ADANIGREEN  ,31.3,31.55,30.75,30.9,30.9,30.7,193,32098,993574,
UNICK       ,24.85,24.85,24.85,24.85,24.85,26.15,6,545,13543,
SOLARA      ,373.65,376.65,370.45,372.65,372.65,374.05,105,3034,1133294,
TALWGYM     ,109.25,110.55,108,108.5,108.5,112.55,76,2454,266475,
GAYAHWS     ,0.71,0.76,0.71,0.76,0.76,0.74,4,5563,3987,
RITES       ,207.25,212,207.25,210.7,210.7,207.6,710,23647,4961883,
FINEORG     ,1104,1132.1,1104,1129.65,1132.1,1103.85,50,739,823412,
VARROC      ,582,599,574.3,591.55,593,571.2,183,1727,1015546,
RAJNISH     ,142.05,142.05,142.05,142.05,142.05,145.5,1,1200,170460,
HITECHWIND  ,16.8,16.8,16.8,16.8,16.8,16.8,1,4,67,
TCNSBRANDS  ,752.1,784.95,750,779.4,779.4,751.3,289,3418,2636246,
SUPERSHAKT  ,400,400,400,400,400,408,2,4500,1800000,
GFIL        ,63,64.45,63,64.45,64.45,64.2,3,4800,306960,
HDFCAMC     ,1313,1336.5,1307.05,1326.3,1331.45,1313.2,768,8138,10787744,
VIVANTA     ,6.25,6.25,6.25,6.25,6.25,6.54,1,86,537,
TINNATFL    ,25.85,28.5,25.85,25.85,25.85,27.2,5,12,312,
TVF2G       ,7.11,7.22,7.11,7.22,7.22,7.35,2,502,3624,
CREDITACC   ,395.45,404.8,394.6,401.3,398,391.65,611,6644,2662239,
AMINTAN     ,1.54,1.54,1.46,1.52,1.52,1.47,8,1857,2763,
DEEP        ,47.25,47.25,45.6,45.6,45.6,47.9,3,24000,1129050,
IPRU3168    ,8,8.11,8,8.11,8.11,8.25,2,74,597,
SPACEINCUBA ,0.63,0.63,0.61,0.61,0.61,0.63,11,8892,5598,
SGIL        ,85.5,85.5,85.5,85.5,85.5,84,3,34000,2907000,
RANJEET     ,26.45,26.45,26.45,26.45,26.45,28.2,1,6000,158700,
ICICILIQ    ,1000,1000,1000,1000,1000,1000,33,88902,88902000,
IRCON       ,365.9,372.5,365.9,369.15,369.5,365.95,216,4381,1620311,
SETFSN50    ,296,304,296,303.24,304,302,7,402,121894,
MANORAMA    ,191,191,191,191,191,190.5,2,3000,573000,
INNOVATIVE  ,159,159.05,159,159.05,159.05,156.3,2,6000,954150,
AAVAS       ,890.2,942.5,890.2,937,942.5,906.1,540,4127,3843587,
GENERAAGRI  ,3.96,3.96,3.96,3.96,3.96,3.78,2,15000,59400,
GRSE        ,80.5,83.75,80.5,82.05,83.7,80.3,9,271,22229,
AAL         ,60,60,60,60,60,56.65,6,14000,840000,
SHUBHAM     ,42.2,42.2,41.8,41.8,41.8,41.9,3,15000,630600,
SMGOLD      ,27,27,27,27,27,27,4,64000,1728000,
VIEL        ,48.35,48.35,48.35,48.35,48.35,48.35,1,38000,1837300,
BCPL        ,31,35,31,34.05,35,31.75,17,100000,3392600,
ADANIGAS    ,95,97.2,94.45,95.95,97.2,94.95,478,53739,5131086,
PHOSPHATE   ,80.5,80.5,80.5,80.5,80.5,76.7,10,2250,181125,
TECHNOE     ,248,255,248,253.65,251.05,245.4,14,698,173402,
IPRU3218    ,8.04,8.62,8.04,8.62,8.62,8.58,5,5008,43165,
BTSYN       ,16.41,16.41,16,16,16,16.4,24,20474,327778,
OCLINDIA    ,1053.35,1091.5,1051,1069.3,1075.05,1070.5,240,5675,6066696,
NILASPACES  ,2.73,2.73,2.47,2.47,2.47,2.6,56,109495,279410,
AXISCCGPG   ,8,8,8,8,8,8.2,1,466,3728,
DECCAN      ,109.5,110.95,107,109.75,110.95,108.5,43,127200,13748160,
AXITA       ,62,62,62,62,62,59.3,2,4000,248000,
KPIGLOBAL   ,71.05,71.75,70.85,71.75,71.75,72.4,4,6400,455440,
CESCVENTURE ,418,420,410,410.05,410,404.75,75,1366,565004,
SPENCER     ,139.5,144,138.5,140.5,140.5,137.3,249,143428,20158804,
GLOSTERLTD  ,837,886.95,836,841.8,840,880,21,304,255488,
XELPMOC     ,71.7,73,66.9,67.95,67.95,74.3,285,31678,2152275,
RITCO       ,70,70,68.5,70,70,69.55,7,11200,776800,
CHALET      ,280,282.3,275,278.1,276,279.2,244,807428,226082595,
ICICISENSX  ,375.16,375.16,373.51,373.51,373.51,371.88,3,2102,788584,
TATAMTRTDVR ,84.95,87,84.95,85.65,85.5,84.95,1031,87755,7521341,
JISLBNDVR   ,38.5,38.95,38.25,38.4,38.3,37.75,23,2745,105726,
STAN CHART  ,52.1,52.1,51.9,51.9,51.9,51.6,5,119,6186,
KARUR VY(PS ,66.55,66.9,66.45,66.7,66.7,66.1,204,23871,1592245,
TIDE WATE(PS,4965.95,4965.95,4879.3,4885.7,4885.7,4906.15,32,71,347921,
AMRUTANJAN  ,283.7,292.95,283.7,292.35,292.95,281.75,74,822,239291,XD
XPRO INDI(PS,33,33,32.05,32.2,32.2,32.95,3,3,97,
HISARMET(PS ,38.9,38.9,32.5,35.25,37.4,33.05,11,2094,69746,
BHARAT RA(PS,3704.55,3720,3570,3668,3713.4,3572.1,62,319,1162107,
EASTER SI(PS,1.64,1.64,1.64,1.64,1.64,1.57,3,11000,18040,
FERT CHE(PS ,30,32,30,31.05,31.05,30.6,88,12015,371084,
GINNI FIL(PS,11.85,12.4,11.8,12.05,12,11.95,40,4471,54566,
SOUTH PET(PS,22.95,22.95,22.5,22.6,22.55,22.6,47,5215,118205,
DE NORA     ,238.95,239,232.45,233.1,233,235.15,38,1112,259901,
KAVERI TELE ,4.85,4.94,4.27,4.8,4.8,4.7,23,7809,35096,
HARITA SEAT ,389.9,438.4,377,422.55,421,385.8,461,7485,3128652,
SAKSOFT LTD ,261,261,261,261,261,261.4,3,77,20097,
PROSEED     ,0.49,0.49,0.46,0.46,0.46,0.48,24,39344,18471,
ANDHRA SUGAR,309,309,302.1,303.3,302.1,302.6,111,2882,877141,
INDIA MOTOR ,850,855,850,855,855,860,4,44,37474,
KCP LTD     ,79.3,80,76.85,79.2,79.95,79.2,59,27911,2179681,
KHAITAN INDI,39,39,37.05,38.95,38.95,38.95,10,301,11165,
RADAAN MEDIA,2.85,2.98,2.72,2.98,2.98,2.85,6,2800,7948,
SUNDARAM FIN,1400.95,1473.05,1372.45,1437,1468.35,1380,196,841,1189581,
SUNDARAM BRK,290,307,288.1,295.05,295.05,283.15,13,2108,626832,
WHEELS INDIA,795.55,810.55,747,758.2,747,759.55,29,87,66779,
LAMBODHARA T,36.15,36.5,36.1,36.4,36.5,35.9,4,170,6159,
MAITHAN ALL ,362.55,368,361.1,363.95,362.3,362.55,73,1237,451202,
ORISSA MINE ,851,904.45,827.1,836,836,842.3,2379,22075,19184886,
GOLDBEES    ,2988.5,3000.9,2985.07,2992.64,2992.64,2978.84,128,1454,4353195,
LIQUIDBEES  ,999.99,1000.01,999.99,1000.01,1000.01,1000.01,1297,361532,361532315,
KOTAKGOLDETF,295,299.85,294.5,296,296,294,26,745,220963,
SBI GOLD ETS,3020.1,3044.99,3018,3039.8,3044.99,3015.85,86,769,2331556,
QUANTUM GOLD,1490,1492.9,1488.7,1488.7,1488.7,1480.34,9,24,35780,
