SC_CODE,SC_GROUP,SC_TYPE,ISIN_CODE,TRADING_DATE
500251,A ,Q,INE849A01020,20-Feb-19
500252,A ,Q,INE269B01029,20-Feb-19
500253,A ,Q,INE115A01026,20-Feb-19
500254,T ,Q,INE292A01023,20-Feb-19
500257,A ,Q,INE326A01037,20-Feb-19
500259,B ,Q,INE933A01014,20-Feb-19
500260,A ,Q,INE331A01037,20-Feb-19
500264,X ,Q,INE270B01027,20-Feb-19
500265,B ,Q,INE271B01025,20-Feb-19
500266,B ,Q,INE288A01013,20-Feb-19
500267,X ,Q,INE201B01022,20-Feb-19
500268,B ,Q,INE201A01024,20-Feb-19
500271,A ,Q,INE180A01020,20-Feb-19
500277,XT,Q,INE401C01018,20-Feb-19
500279,B ,Q,INE831A01028,20-Feb-19
500280,B ,Q,INE485A01015,20-Feb-19
500284,XT,Q,INE846D01012,20-Feb-19
500285,A ,Q,INE285B01017,20-Feb-19
500288,B ,Q,INE083A01026,20-Feb-19
500290,A ,Q,INE883A01011,20-Feb-19
500292,A ,Q,INE578A01017,20-Feb-19
500294,A ,Q,INE868B01028,20-Feb-19
500295,A ,Q,INE205A01025,20-Feb-19
500296,B ,Q,INE290A01027,20-Feb-19
500298,B ,Q,INE585A01020,20-Feb-19
500300,A ,Q,INE047A01021,20-Feb-19
500302,A ,Q,INE140A01024,20-Feb-19
500304,B ,Q,INE161A01038,20-Feb-19
500306,X ,Q,INE903A01025,20-Feb-19
500307,B ,Q,INE910A01012,20-Feb-19
500312,A ,Q,INE213A01029,20-Feb-19
500313,B ,Q,INE591A01010,20-Feb-19
500314,B ,Q,INE750A01020,20-Feb-19
500315,A ,Q,INE141A01014,20-Feb-19
500317,B ,Q,INE142A01012,20-Feb-19
500319,X ,Q,INE557C01017,20-Feb-19
500322,X ,Q,INE167E01029,20-Feb-19
500325,A ,Q,INE002A01018,20-Feb-19
500327,T ,Q,INE600A01035,20-Feb-19
500329,X ,Q,INE202A01022,20-Feb-19
